Date,U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),East Coast (PADD 1) Gross Inputs to Atmospheric Crude Oil Distillation Units (Thousand Barrels per Day),Refining District East Coast Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day),Appalachian No. 1 Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day),Midwest (PADD 2) Gross Inputs to Refineries (Thousand Barrels Per Day),"Indiana, Illinois, Kentucky Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day)","Minnesota, Wisconsin, North and South Dakota Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day)",Refining District Oklahoma-Kansas-Missouri Gross Inputs to Atmospheric Crude Oil Distillation Units (Thousand Barrels per Day),Gulf Coast (PADD 3) Gross Inputs to Refineries (Thousand Barrels Per Day),Texas Inland Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day),Refining District Texas Gulf Coast Gross Inputs to Atmospheric Crude Oil Distillation Units (Thousand Barrels per Day),Louisiana Gulf Coast Refinery District Gross Inputs to Refineries (Thousand Barrels Per Day),Refining District North Louisiana-Arkansas Gross Inputs to Refineries (Thousand Barrels per Day),Refining District New Mexico Gross Inputs to Atmospheric Crude Oil Distillation Units (Thousand Barrels per Day),Rocky Mountains (PADD 4) Gross Inputs to Refineries (Thousand Barrels Per Day),West Coast (PADD 5) Gross Inputs to Refineries (Thousand Barrels Per Day),
Jan-1985,11583,1092,1003,89,2675,1739,277,602,5230,489,2792,1730,166,53,423,2163,
Feb-1985,11485,1103,1010,93,2556,1675,276,548,5330,481,2749,1882,170,47,398,2098,
Mar-1985,11484,1108,1011,97,2508,1623,264,561,5251,480,2601,1957,161,52,405,2212,
Apr-1985,11969,1149,1060,89,2650,1712,284,595,5531,454,2831,2046,137,63,341,2298,
May-1985,12269,1154,1062,92,2708,1730,293,622,5668,453,2936,2045,169,64,472,2267,
Jun-1985,12422,1227,1128,99,2830,1815,298,671,5548,495,2799,2020,168,66,471,2346,
Jul-1985,12663,1198,1099,99,2890,1886,290,657,5709,500,2884,2079,180,66,460,2406,
Aug-1985,12222,1194,1096,98,2929,1911,300,658,5372,472,2830,1838,171,62,482,2246,
Sep-1985,12096,1109,1012,97,2802,1869,270,599,5416,479,2893,1827,154,61,455,2315,
Oct-1985,12363,1206,1109,97,2751,1761,292,634,5663,494,2870,2058,181,60,439,2304,
Nov-1985,12629,1170,1124,46,2843,1828,291,660,5887,479,3050,2115,179,64,429,2301,
Dec-1985,12744,1194,1092,102,2762,1782,291,624,6042,465,3071,2260,186,61,417,2330,
Jan-1986,12583,1139,1045,95,2790,1818,285,624,5846,467,2959,2152,206,62,409,2398,
Feb-1986,12068,1093,998,96,2625,1672,284,606,5706,449,2921,2105,170,61,375,2269,
Mar-1986,11759,1099,1003,96,2655,1711,293,590,5279,455,2811,1849,124,39,379,2347,
Apr-1986,12603,1103,1001,102,2723,1788,280,593,5949,487,3117,2149,135,61,425,2404,
May-1986,13314,1267,1161,105,2890,1911,269,648,6255,489,3211,2312,176,67,456,2447,
Jun-1986,13347,1353,1246,107,2933,1905,306,662,6125,497,3150,2224,186,68,473,2463,
Jul-1986,13009,1282,1187,95,2932,1921,309,645,5885,488,3081,2068,178,69,476,2434,
Aug-1986,13392,1346,1244,101,3003,1962,312,669,6106,496,3171,2191,178,69,469,2469,
Sep-1986,13191,1323,1227,96,2845,1876,284,624,6114,506,3138,2230,175,66,447,2462,
Oct-1986,12753,1291,1190,100,2783,1859,299,593,5838,443,2975,2170,183,68,430,2412,
Nov-1986,12928,1207,1100,107,2906,1912,302,658,5995,484,3000,2261,186,64,434,2387,
Dec-1986,12914,1231,1128,102,2896,1923,302,630,6074,460,3069,2311,171,62,424,2289,
Jan-1987,12725,1110,1017,93,2783,1881,278,623,5977,470,2956,2322,167,62,418,2437,
Feb-1987,12417,1161,1064,97,2743,1877,274,593,5595,441,2856,2082,163,53,418,2500,
Mar-1987,12237,1121,1019,102,2695,1811,278,607,5647,472,2829,2121,160,65,360,2413,
Apr-1987,12637,1255,1163,92,2882,1952,278,653,5449,457,2690,2079,155,68,429,2623,
May-1987,12848,1275,1170,105,2795,1916,221,658,5725,480,2890,2123,163,68,434,2619,
Jun-1987,13306,1387,1284,104,2901,1954,299,647,6034,467,3034,2299,167,68,456,2529,
Jul-1987,13612,1355,1256,99,2978,2022,306,650,6167,485,3119,2323,170,69,477,2636,
Aug-1987,13527,1367,1268,99,3008,2036,310,662,6054,494,2998,2317,175,71,482,2616,
Sep-1987,13328,1275,1175,100,2932,1991,307,634,6028,471,2967,2373,151,66,461,2632,
Oct-1987,12896,1209,1113,96,2817,1925,306,586,6019,476,2933,2394,147,70,437,2413,
Nov-1987,13074,1225,1129,96,2870,1957,301,612,6123,466,3019,2395,175,69,439,2416,
Dec-1987,13383,1324,1230,93,2833,1917,286,630,6220,468,3082,2429,174,67,433,2574,
Jan-1988,13175,1317,1217,100,2758,1868,280,609,6066,420,3024,2380,175,66,426,2609,
Feb-1988,12889,1308,1213,95,2789,1904,281,604,5859,429,2827,2370,165,68,424,2509,
Mar-1988,13241,1242,1142,100,2881,1965,291,625,6088,485,2999,2363,169,72,411,2619,
Apr-1988,13346,1135,1062,73,2893,1941,298,654,6153,498,3165,2256,165,68,432,2734,
May-1988,13638,1254,1153,101,2944,1946,300,698,6258,497,3203,2311,181,66,484,2698,
Jun-1988,13710,1337,1233,104,3002,1978,321,703,6148,504,3191,2201,185,68,496,2726,
Jul-1988,13804,1409,1304,105,3027,1996,331,700,6149,506,3152,2238,181,73,493,2726,
Aug-1988,13953,1409,1306,103,3112,2067,339,706,6213,496,3168,2294,183,72,506,2713,
Sep-1988,13356,1308,1207,100,2977,1933,332,711,5873,475,2920,2243,162,72,473,2726,
Oct-1988,13304,1278,1171,107,2856,1882,307,667,6147,504,3105,2313,156,70,421,2601,
Nov-1988,13354,1239,1134,105,2891,1953,306,633,6094,489,3021,2339,177,67,448,2682,
Dec-1988,13554,1320,1213,107,2995,2003,305,687,6040,489,2894,2410,181,67,445,2752,
Jan-1989,13502,1296,1197,99,2942,1985,321,637,6138,511,2829,2568,174,57,435,2691,
Feb-1989,12974,1270,1168,102,2931,1953,316,663,5874,500,2599,2545,180,49,414,2485,
Mar-1989,13131,1212,1110,102,2864,1899,321,644,6079,495,2970,2359,181,73,416,2561,
Apr-1989,13123,1065,963,102,2739,1872,284,583,6241,502,3117,2392,161,68,410,2668,
May-1989,13566,1026,933,94,2818,1838,279,701,6454,506,3211,2478,183,77,476,2791,
Jun-1989,14067,1319,1220,99,3043,2016,310,717,6399,494,3195,2462,174,74,493,2813,
Jul-1989,13957,1330,1236,95,3079,2033,329,718,6267,515,3083,2426,168,75,490,2792,
Aug-1989,14024,1356,1256,100,3118,2071,321,726,6260,525,3129,2356,177,73,505,2786,
Sep-1989,13898,1377,1285,92,3025,2010,312,703,6268,532,3184,2309,169,74,499,2730,
Oct-1989,13533,1368,1277,90,2656,1693,326,637,6320,521,3151,2431,143,74,449,2740,
Nov-1989,13549,1290,1189,101,2779,1823,319,636,6332,511,3118,2489,142,73,469,2680,
Dec-1989,13244,1286,1183,103,2960,1985,319,656,5885,524,2952,2178,157,74,465,2648,
Jan-1990,13668,1395,1292,102,2941,1953,319,669,6087,512,3037,2286,181,71,445,2800,
Feb-1990,13695,1403,1307,96,2983,1998,306,680,6111,495,2977,2393,175,71,447,2751,
Mar-1990,13080,1270,1174,96,2869,1938,311,621,5711,512,2704,2241,181,73,428,2801,
Apr-1990,13250,1186,1090,96,2942,1983,294,664,5992,491,3056,2193,188,64,437,2694,
May-1990,13576,1239,1145,94,3021,2017,272,732,6250,539,3020,2442,173,76,494,2572,
Jun-1990,13893,1289,1192,97,3201,2112,347,742,6359,539,3085,2478,180,77,497,2547,
Jul-1990,14414,1419,1316,103,3262,2147,363,752,6503,534,3182,2523,185,78,501,2730,
Aug-1990,14234,1151,1045,106,3275,2165,351,760,6407,521,3116,2522,173,75,512,2888,
Sep-1990,14298,1399,1298,101,3272,2166,352,754,6255,548,2892,2559,181,74,492,2879,
Oct-1990,13076,1171,1073,98,2916,1988,329,599,5935,513,2797,2400,176,49,439,2615,
Nov-1990,13187,1111,1023,88,2894,1934,333,626,6056,507,2901,2404,178,66,438,2688,
Dec-1990,12961,1064,981,83,2911,1944,314,654,5903,507,2825,2324,174,73,430,2653,
Jan-1991,12931,1117,1024,93,2883,1971,319,593,5898,489,2743,2420,178,68,408,2626,
Feb-1991,13224,1210,1119,91,2924,1985,328,611,5984,479,2793,2466,173,73,436,2670,
Mar-1991,13051,1222,1130,91,3008,2030,338,639,5864,494,2671,2437,187,75,458,2500,
Apr-1991,13283,1176,1121,55,3022,2063,240,719,5895,450,2755,2448,177,67,434,2756,
May-1991,13748,1250,1160,90,3193,2131,324,738,6021,523,2994,2273,154,77,474,2809,
Jun-1991,14128,1311,1211,100,3231,2147,346,738,6192,555,3003,2367,188,80,493,2901,
Jul-1991,13941,1304,1205,99,3262,2205,330,727,6142,535,2958,2378,194,77,495,2738,
Aug-1991,14005,1297,1198,98,3153,2096,323,734,6294,544,3037,2443,192,78,505,2757,
Sep-1991,13883,1297,1203,94,3233,2197,307,729,6136,544,2923,2428,164,77,462,2755,
Oct-1991,13118,1046,964,82,3040,2012,321,708,6005,517,2864,2406,143,76,482,2545,
Nov-1991,13156,1151,1061,90,2933,1908,335,690,5986,508,2864,2375,167,72,465,2621,
Dec-1991,13614,1188,1097,91,3093,2090,328,675,6244,507,2993,2488,188,68,432,2657,
Jan-1992,13097,1149,1061,88,3042,2079,323,640,5866,484,2680,2429,195,79,417,2622,
Feb-1992,12742,1138,1048,90,3076,2099,329,648,5583,467,2634,2210,196,76,406,2539,
Mar-1992,13292,1130,1034,96,3010,2031,327,652,6121,513,2870,2492,163,83,450,2582,
Apr-1992,13356,1276,1183,93,2853,1926,336,591,6192,543,2923,2449,186,91,414,2621,
May-1992,13850,1269,1180,88,3265,2216,333,716,6224,535,3002,2407,190,90,437,2656,
Jun-1992,14285,1365,1267,98,3260,2205,325,729,6457,555,3100,2529,185,88,444,2759,
Jul-1992,14176,1309,1212,97,3282,2242,337,703,6340,561,3034,2471,187,87,477,2769,
Aug-1992,13649,1199,1100,99,3278,2234,335,710,6000,549,2870,2290,199,91,457,2715,
Sep-1992,13886,1259,1163,97,3209,2171,323,715,6282,532,2977,2476,211,87,463,2672,
Oct-1992,13651,1323,1227,95,3125,2076,337,712,6166,494,2837,2537,208,89,449,2589,
Nov-1992,13795,1253,1160,93,3141,2159,331,651,6309,520,3030,2463,205,91,438,2655,
Dec-1992,13400,1207,1116,91,3056,2079,344,633,6174,483,2943,2455,204,89,437,2526,
Jan-1993,13123,1229,1137,92,3113,2122,347,644,6026,516,2762,2454,204,91,420,2336,
Feb-1993,13097,1103,1003,100,3074,2062,353,659,6116,525,2957,2338,203,94,412,2392,
Mar-1993,13507,1137,1039,98,3146,2093,365,688,6186,474,3002,2452,178,80,446,2593,
Apr-1993,13819,1401,1306,96,3084,2144,317,623,6306,499,3036,2495,179,98,405,2623,
May-1993,14062,1441,1344,97,3211,2174,328,709,6279,535,3036,2406,206,96,462,2670,
Jun-1993,14415,1470,1370,101,3374,2313,366,696,6437,506,3085,2540,209,96,480,2653,
Jul-1993,14458,1443,1349,94,3323,2294,347,681,6527,543,3077,2603,209,95,473,2693,
Aug-1993,14040,1366,1269,97,3253,2222,355,676,6300,540,2972,2488,206,93,476,2646,
Sep-1993,14045,1437,1346,91,3248,2282,379,587,6221,553,3016,2382,204,67,483,2656,
Oct-1993,13902,1505,1412,93,3261,2199,388,674,6118,543,2805,2494,193,82,456,2562,
Nov-1993,13928,1418,1324,94,3294,2246,364,684,6210,552,2901,2524,156,76,467,2539,
Dec-1993,13768,1303,1217,86,3172,2164,354,654,6280,524,2891,2584,191,90,451,2561,
Jan-1994,13526,1255,1164,91,3094,2074,373,646,6178,526,2901,2477,179,93,456,2543,
Feb-1994,13336,1375,1284,90,3186,2129,382,675,5998,514,2880,2342,167,94,451,2327,
Mar-1994,13158,1196,1107,89,3064,2088,370,606,6040,565,2873,2344,173,85,419,2439,
Apr-1994,14009,1264,1214,49,3353,2291,339,723,6463,581,3075,2545,169,94,436,2493,
May-1994,14467,1424,1323,101,3369,2322,341,706,6612,570,3142,2619,184,96,476,2587,
Jun-1994,14519,1471,1368,103,3407,2330,369,708,6516,557,3138,2536,186,99,492,2633,
Jul-1994,14480,1432,1333,99,3332,2263,372,696,6546,561,3096,2620,175,94,484,2685,
Aug-1994,14618,1404,1301,103,3349,2245,389,715,6694,556,3189,2669,184,96,476,2695,
Sep-1994,14360,1371,1271,101,3342,2262,352,728,6590,572,3104,2631,188,95,486,2570,
Oct-1994,13660,1354,1253,101,3088,2085,351,652,6165,541,2898,2454,183,90,458,2594,
Nov-1994,14101,1471,1366,104,3229,2151,374,705,6340,524,3062,2483,174,97,457,2604,
Dec-1994,14107,1350,1257,93,3219,2193,374,652,6464,542,3124,2536,171,91,457,2617,
Jan-1995,13830,1339,1246,93,3280,2194,374,711,6259,565,3083,2346,169,95,470,2482,
Feb-1995,13567,1456,1363,93,3116,2070,363,683,6103,516,2842,2483,169,93,447,2446,
Mar-1995,13383,1464,1375,88,2940,1981,370,589,6107,516,3065,2258,173,95,451,2422,
Apr-1995,13974,1386,1296,91,3204,2136,368,700,6462,558,3107,2533,168,96,433,2490,
May-1995,14457,1415,1322,93,3244,2232,358,653,6569,554,3175,2567,176,98,482,2747,
Jun-1995,14714,1498,1401,97,3394,2279,410,705,6683,594,3232,2581,180,96,501,2638,
Jul-1995,14461,1474,1376,97,3336,2219,404,714,6515,578,3218,2460,161,98,492,2643,
Aug-1995,14473,1546,1450,97,3359,2223,403,733,6396,592,3116,2424,168,95,481,2691,
Sep-1995,14592,1518,1417,101,3432,2329,399,704,6598,534,3213,2581,175,95,455,2590,
Oct-1995,13748,1355,1262,93,3169,2168,343,658,6263,567,3048,2411,140,96,429,2533,
Nov-1995,14002,1436,1351,84,3180,2148,387,646,6447,564,3147,2470,169,95,475,2465,
Dec-1995,14196,1404,1316,87,3208,2177,371,660,6546,562,3200,2535,159,90,436,2603,
Jan-1996,13894,1364,1273,92,3148,2173,378,597,6359,542,3085,2471,168,94,441,2582,
Feb-1996,13679,1213,1119,93,3107,2078,388,641,6330,510,3030,2546,160,85,429,2600,
