Date,U.S. Downstream Processing of Fresh Feed Input by Catalytic Reforming Units (Thousand Barrels per Day),U.S. Downstream Processing of Fresh Feed Input by Catalytic Cracking Units (Thousand Barrels per Day),U.S. Downstream Processing of Fresh Feed Input by Catalytic Hydrocracking Units (Thousand Barrels per Day),U.S. Downstream Processing of Fresh Feed Input by Delayed and Fluid Coking Units (Thousand Barrels per Day),
Jan-1987,,4072,916,1285,
Feb-1987,,4049,940,1298,
Mar-1987,,4054,806,1177,
Apr-1987,,4426,893,1200,
May-1987,,4506,986,1191,
Jun-1987,,4578,996,1291,
Jul-1987,,4602,1016,1283,
Aug-1987,,4532,974,1258,
Sep-1987,,4534,946,1259,
Oct-1987,,4218,994,1258,
Nov-1987,,4335,1007,1306,
Dec-1987,,4516,880,1375,
Jan-1988,,4346,874,1384,
Feb-1988,,4325,840,1371,
Mar-1988,,4334,935,1392,
Apr-1988,,4496,932,1285,
May-1988,,4472,904,1389,
Jun-1988,,4469,949,1390,
Jul-1988,,4704,1001,1336,
Aug-1988,,4800,1012,1338,
Sep-1988,,4533,951,1376,
Oct-1988,,4438,921,1344,
Nov-1988,,4499,887,1394,
Dec-1988,,4735,953,1364,
Jan-1989,,4415,994,1421,
Feb-1989,,4246,946,1327,
Mar-1989,,4316,885,1291,
Apr-1989,,4517,884,1329,
May-1989,,4684,939,1339,
Jun-1989,,4887,957,1411,
Jul-1989,,4946,1009,1399,
Aug-1989,,4874,1001,1402,
Sep-1989,,4802,959,1334,
Oct-1989,,4416,915,1327,
Nov-1989,,4449,863,1236,
Dec-1989,,4346,793,1325,
Jan-1990,,4565,866,1339,
Feb-1990,,4745,949,1359,
Mar-1990,,4461,902,1332,
Apr-1990,,4587,918,1336,
May-1990,,4566,913,1343,
Jun-1990,,4702,968,1364,
Jul-1990,,4975,1025,1357,
Aug-1990,,4931,962,1409,
Sep-1990,,4921,997,1392,
Oct-1990,,4598,972,1297,
Nov-1990,,4574,906,1368,
Dec-1990,,4715,920,1372,
Jan-1991,,4404,916,1438,
Feb-1991,,4561,959,1354,
Mar-1991,,4481,887,1297,
